RMNYStat-ID,RMNYStat-CopyID,RMNYStat-Copy-Jel,RMNYStat-Copy-Sorszám,RMNYStat-PéldányLeírás-Típus,RMNYStat-Példány-Típus,RMNYStat-C-Lelőhely,RMNYStat-C-Gyűjtemény,RMNYStat-C-Teljesség,RMNYStat-C-Címlap,RMNYStat-C-Variáns,RMNYStat-C-Prov,RMNY-C-Megjegyzés,RMNYStat-C-Megjegyzés,RMNY-C-Megjegyzés2,
RMNY1,RMNY-C1,RMNY-C,1,egyedi,eredeti,Eichstätt,Nat,3,*,,,,,,
RMNY1,RMNY-C2,RMNY-C,2,egyedi,eredeti,Wien,Nat,1,,,,,,,
RMNY2,RMNY-C3,RMNY-C,3,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY2,RMNY-C4,RMNY-C,4,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY2,RMNY-C5,RMNY-C,5,egyedi,eredeti,Kraków,Czartoryski,1,,,,,,,
RMNY2,RMNY-C6,RMNY-C,6,egyedi,eredeti,Leipzig,Univ,1,,,,,,,
RMNY2,RMNY-C7,RMNY-C,7,egyedi,eredeti,Leningrad,Nat,1,,,,,,,
RMNY2,RMNY-C8,RMNY-C,8,egyedi,eredeti,Paris,Nat,1,,,,,,,
RMNY2,RMNY-C9,RMNY-C,9,egyedi,eredeti,Praha,Univ,1,,,,,,,
RMNY2,RMNY-C10,RMNY-C,10,egyedi,eredeti,Princeton,Univ,1,,,,,,,
RMNY2,RMNY-C11,RMNY-C,11,egyedi,eredeti,Roma,Acad,1,,,,,,,
RMNY2,RMNY-C12,RMNY-C,12,egyedi,eredeti,Wien,Nat,1,,,,,,,
RMNY3,RMNY-C13,RMNY-C,13,egyedi,eredeti,Berlin,Nat,1,,(A-var.),,,,,
RMNY3,RMNY-C14,RMNY-C,14,egyedi,eredeti,Budapest,Univ,1,,(A-var.),,,,,
RMNY3,RMNY-C15,RMNY-C,15,egyedi,eredeti,Budapest,Univ,2,*,(B-var.),,,,,
RMNY3,RMNY-C16,RMNY-C,16,egyedi,eredeti,Gyöngyös,,2,,(A-var.),,,,,
RMNY3,RMNY-C17,RMNY-C,17,egyedi,eredeti,Martin,Nat,1,,,(Diecézna knižnica Nitra?),,,,
RMNY4,RMNY-C18,RMNY-C,18,,,,,n.p.,,,,,,,
RMNY5,RMNY-C19,RMNY-C,19,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY6,RMNY-C20,RMNY-C,20,egyedi,eredeti,Bratislava,Civ,1,,,,,,,
RMNY6D,RMNY-C21,RMNY-C,21,egyedi,eredeti,Uppsala,Univ,1,,,,,,,
RMNY6A,RMNY-C22,RMNY-C,22,,eredeti,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
RMNY6B,RMNY-C23,RMNY-C,23,,eredeti,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
RMNY6C,RMNY-C24,RMNY-C,24,,eredeti,Marosvásárhely,Teleki-Bolyai Könyvtár,n.a.,,,,,,,
RMNY7,RMNY-C25,RMNY-C,25,egyedi,eredeti,Gdańsk,Acad,1,,,,,,,
RMNY8,RMNY-C26,RMNY-C,26,egyedi,eredeti,Bucureşti,Acad,1,,,,,,,
RMNY8,RMNY-C27,RMNY-C,27,egyedi,eredeti,Gdańsk,Acad,1,,,,,,,
RMNY8,RMNY-C28,RMNY-C,28,egyedi,eredeti,Kraków,Univ,4,,,,,,,
RMNY9,RMNY-C29,RMNY-C,29,,,,,n.p.,,,,,,,
RMNY10,RMNY-C30,RMNY-C,30,,,,,n.p.,,,,,,,
RMNY11,RMNY-C31,RMNY-C,31,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY12,RMNY-C32,RMNY-C,32,egyedi,eredeti,Budapest,Nat,4,,,,,,,
RMNY12,RMNY-C33,RMNY-C,33,egyedi,eredeti,Kraków,Arch,4,,,,,,,
RMNY12,RMNY-C34,RMNY-C,34,egyedi,eredeti,Kraków,Arch,4,,,,,,,
RMNY12,RMNY-C35,RMNY-C,35,egyedi,eredeti,Kraków,Arch,4,,,,,,,
RMNY13,RMNY-C36,RMNY-C,36,egyedi,eredeti,Bratislava,Acad,2,,,,,,,
RMNY13,RMNY-C37,RMNY-C,37,egyedi,eredeti,Budapest,Acad,2,,,,,facs. suppl.,,
RMNY13,RMNY-C38,RMNY-C,38,egyedi,eredeti,Budapest,Acad,3,*,,,,facs. suppl.,,
RMNY13,RMNY-C39,RMNY-C,39,egyedi,eredeti,Budapest,Nat,2,,,,,facs. suppl.,,
RMNY13,RMNY-C40,RMNY-C,40,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY13,RMNY-C41,RMNY-C,41,egyedi,eredeti,Budapest,Nat,3,,,"(Szeged, francisc.)",,,,
RMNY13,RMNY-C42,RMNY-C,42,egyedi,eredeti,Budapest,Univ,1,,,,,,,
RMNY13,RMNY-C43,RMNY-C,43,egyedi,eredeti,Cluj,Univ,4,*,,,,,,
RMNY13,RMNY-C44,RMNY-C,44,egyedi,eredeti,London,BM,2,,,(Nagy István),,,,
RMNY13,RMNY-C45,RMNY-C,45,egyedi,eredeti,Sárospatak,Ref,2,,,,,,,
RMNY13,RMNY-C46,RMNY-C,46,egyedi,eredeti,Wien,Nat,1,,,,,,,
RMNY14,RMNY-C47,RMNY-C,47,egyedi,eredeti,Budapest,Nat,2,*,(B-var.),phot. suppl. (Schwaz),,,,
RMNY14,RMNY-C48,RMNY-C,48,egyedi,eredeti,Kraków,Univ,4,,,,,,,
RMNY14,RMNY-C49,RMNY-C,49,egyedi,eredeti,Schwaz,,1,,(A-var.),,,,,
RMNY14,RMNY-C50,RMNY-C,50,egyedi,eredeti,Sibiu,Mus,2,,,,,,,
RMNY15,RMNY-C51,RMNY-C,51,egyedi,eredeti,Aiud,,3,,,,,,,
RMNY15,RMNY-C52,RMNY-C,52,egyedi,eredeti,Budapest,Acad,2,,,,,,,
RMNY15,RMNY-C53,RMNY-C,53,egyedi,eredeti,Budapest,Nat,2,,,,,,,
RMNY15,RMNY-C54,RMNY-C,54,egyedi,eredeti,London,BM,3,,,(Nagy István),,,,
RMNY16,RMNY-C55,RMNY-C,55,egyedi,eredeti,Bratislava,Acad,2,,,,,,,
RMNY16,RMNY-C56,RMNY-C,56,egyedi,eredeti,Budapest,Acad,2,,,,,,,
RMNY16,RMNY-C57,RMNY-C,57,egyedi,eredeti,Budapest,Acad,3,,,,,,,
RMNY16,RMNY-C58,RMNY-C,58,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY16,RMNY-C59,RMNY-C,59,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY16,RMNY-C60,RMNY-C,60,egyedi,eredeti,Budapest,Univ,3,,,,,,,
RMNY16,RMNY-C61,RMNY-C,61,egyedi,eredeti,Cluj,Acad II,2,,,,,,,
RMNY16,RMNY-C62,RMNY-C,62,egyedi,eredeti,Cluj,Univ,2,*,,,,,,
RMNY16,RMNY-C63,RMNY-C,63,egyedi,eredeti,Debrecen,Univ,3,,,,,,,
RMNY16,RMNY-C64,RMNY-C,64,egyedi,eredeti,Pécs,Univ,3,,,,,,,
RMNY16,RMNY-C65,RMNY-C,65,egyedi,eredeti,Wien,Nat,1,,,,,,,
RMNY16,RMNY-C66,RMNY-C,66,egyedi,eredeti,Wrocław,Univ,1,,,,,,,
RMNY17,RMNY-C67,RMNY-C,67,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY17,RMNY-C68,RMNY-C,68,egyedi,eredeti,Budapest,Nat,1,,,(szathmári püspök könyvtára ← Sándor István),,,,
RMNY17,RMNY-C69,RMNY-C,69,egyedi,eredeti,Wien,Nat,1,,,,,,,
RMNY18,RMNY-C70,RMNY-C,70,egyedi,phot.,Budapest,Nat,phot.,,,"(Kraków, Praha)",,,,
RMNY18,RMNY-C71,RMNY-C,71,egyedi,eredeti,Kraków,Univ,4,*,,,,,,
RMNY18,RMNY-C72,RMNY-C,72,egyedi,eredeti,Praha,Strahov,4,,,,,,,
RMNY19,RMNY-C73,RMNY-C,73,,,,,n.p.,,,,,,,
RMNY20,RMNY-C74,RMNY-C,74,,,,,n.p.,,,,,,,
RMNY21,RMNY-C75,RMNY-C,75,egyedi,eredeti,Bratislava,Acad,2,,,,,,,
RMNY21,RMNY-C76,RMNY-C,76,egyedi,eredeti,Budapest,Acad,2,*,,,,,,
RMNY21,RMNY-C77,RMNY-C,77,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY21,RMNY-C78,RMNY-C,78,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY21,RMNY-C79,RMNY-C,79,egyedi,eredeti,Cluj,Univ,2,*,,,,,,
RMNY21,RMNY-C80,RMNY-C,80,egyedi,eredeti,Kalocsa,Dioec,1,,,,,,,
RMNY21,RMNY-C81,RMNY-C,81,egyedi,eredeti,Zagreb,Univ,4,*,,,,,,
RMNY22,RMNY-C82,RMNY-C,82,,,,,n.p.,,,,,,,
RMNY23,RMNY-C83,RMNY-C,83,,,,,n.p.,,,,,,,
RMNY24,RMNY-C84,RMNY-C,84,egyedi,eredeti,Kraków,Univ,4,,,,,,,
RMNY25,RMNY-C85,RMNY-C,85,,,,,n.p.,,,,,,,
RMNY26,RMNY-C86,RMNY-C,86,,,,,n.p.,,,,,,,
RMNY27,RMNY-C87,RMNY-C,87,,,,,n.p.,,,,,,,
RMNY28,RMNY-C88,RMNY-C,88,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY28,RMNY-C89,RMNY-C,89,egyedi,phot.,Budapest,Nat,phot.,,,(Braşov),,,,
RMNY29,RMNY-C90,RMNY-C,90,egyedi,eredeti,Alba Iulia,,2,*,,,,,,
RMNY29,RMNY-C91,RMNY-C,91,egyedi,eredeti,Braşov,Arch,1,,,,,,,
RMNY29,RMNY-C92,RMNY-C,92,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY29,RMNY-C93,RMNY-C,93,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY29,RMNY-C94,RMNY-C,94,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY29,RMNY-C95,RMNY-C,95,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY29,RMNY-C96,RMNY-C,96,egyedi,eredeti,Braşov,Ev,1,,,,,,,
RMNY29,RMNY-C97,RMNY-C,97,egyedi,eredeti,Budapest,Acad,1,,,,,,,
RMNY29,RMNY-C98,RMNY-C,98,egyedi,eredeti,Budapest,Acad,2,,,,,,,
RMNY29,RMNY-C99,RMNY-C,99,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY29,RMNY-C100,RMNY-C,100,egyedi,eredeti,Budapest,Nat,1,,,,,,,
RMNY29,RMNY-C101,RMNY-C,101,egyedi,eredeti,Budapest,Univ,2,,,,,,,
RMNY29,RMNY-C102,RMNY-C,102,egyedi,eredeti,Cluj,Univ,1,,,,,,,
RMNY29,RMNY-C103,RMNY-C,103,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
RMNY29,RMNY-C104,RMNY-C,104,egyedi,eredeti,Sibiu,Mus,1,,,,,,,
